nhName,boundaryPoints
Edgemont,
Edmiston Industrial,"MULTIPOLYGON (((-113.62531883992001 53.570998138402665, -113.62531940585959 53.570543373328114, -113.62531999790183 53.57042913486505, -113.62728477412027 53.570426155272344, -113.62730473654796 53.565341490521874, -113.6273034390009 53.56321745788373, -113.62730868345778 53.559545007326356, -113.63032178223801 53.559538291907444, -113.63600157004808 53.55954863033891, -113.63962425715481 53.559558871895945, -113.63961292485389 53.561407769354666, -113.639599609222 53.56320377639168, -113.64011172900429 53.568144023243256, -113.63958474721402 53.5696106991158, -113.6395887200798 53.57044655565615, -113.64017486699443 53.57044846416806, -113.6395241747755 53.57273573420969, -113.63133314378985 53.57203027774744, -113.62993136036744 53.57190743836919, -113.6264113173133 53.571610593571265, -113.62532018719264 53.571523046558056, -113.62531883992001 53.570998138402665)))"
Edmonton Energy And Technology Park,"MULTIPOLYGON (((-113.43647340686015 53.65102681273533, -113.43623183999031 53.65121856092832, -113.4359981463972 53.6514137230785, -113.43577246281178 53.65161218509039, -113.43555492128783 53.65181383093739, -113.43534564912459 53.65201854273032, -113.43514476879207 53.65222620078538, -113.43125510723563 53.656453297983134, -113.43122540860811 53.65654999502148, -113.43120097315403 53.65664721053555, -113.43118182631187 53.65674484346411, -113.43116798802278 53.656842792311096, -113.43115947270958 53.656940955251564, -113.43115628926176 53.65703923023702, -113.43115364211526 53.65754464888636, -113.43160936603694 53.657723358242016, -113.43049036998342 53.65772130848871, -113.43042044167892 53.67238231617812, -113.43039670410579 53.67961154275192, -113.43037248996069 53.68684841825519, -113.43033677745018 53.70152067809445, -113.4302878632456 53.71591742449184, -113.42184469431177 53.71590768380792, -113.4184263646347 53.71590509415065, -113.4177606508457 53.71590408097448, -113.4049070518846 53.71589189822265, -113.39966961097976 53.715888346138065, -113.39362453001586 53.71587986835936, -113.38121263982528 53.715865258543076, -113.3812125997752 53.71591884862839, -113.38075558993557 53.715918168656316, -113.3807555633065 53.715864700100546, -113.36872491007813 53.7158493584501, -113.3565717799211 53.715833248484344, -113.34207828019628 53.715811148488235, -113.3416169500052 53.715744708343884, -113.33198373768336 53.715729298613915, -113.33198351743536 53.71579501831882, -113.3213551874247 53.71577710825404, -113.31953076794609 53.71568490864209, -113.2972551762258 53.7156452750302, -113.29523444079571 53.71564123180643, -113.29528155102929 53.70515817409337, -113.29529306439827 53.70249661283407, -113.29529661488525 53.70137528065188, -113.29529815333571 53.70132034999668, -113.29531761809359 53.69893315136062, -113.30482784515347 53.69436485659651, -113.30668377889823 53.69322783109356, -113.31648971412119 53.68683088465466, -113.318185232967 53.685724059910086, -113.31987614655495 53.68463316886335, -113.32318145708824 53.682482066524045, -113.34427636632448 53.66876503510986, -113.35238911283753 53.663592874757775, -113.3544100597095 53.66267809126308, -113.36765366775236 53.65771100869255, -113.36893341781975 53.65724834317398, -113.36892857205889 53.650361200842745, -113.36908759984144 53.65036236848307, -113.38122895015566 53.65040888837188, -113.38123511989556 53.643171648525716, -113.39014479021591 53.64321530839231, -113.39082332535695 53.64321850855, -113.3915244369141 53.641411180708616, -113.39225751577371 53.64141399522534, -113.3933892501579 53.6414191682768, -113.39350423885563 53.64133999403673, -113.39369385370013 53.64133434526804, -113.39384550478049 53.64133012673876, -113.39433715468155 53.64086498301688, -113.40573080243986 53.640544938977705, -113.40612124999103 53.640657728435556, -113.41169808992764 53.642369478514574, -113.41427182979957 53.645055828263686, -113.42318780020682 53.64506383848416, -113.43263918093082 53.64776105324158, -113.43406323008526 53.65050340859863, -113.43712342880777 53.65050570239714, -113.43647340686015 53.65102681273533)))"
Edmonton Northlands,"MULTIPOLYGON (((-113.45566230214631 53.573463058347905, -113.45464466128861 53.57435325621519, -113.45392346903739 53.57434169835585, -113.45351890134071 53.57434142415995, -113.45317413658562 53.5743405810253, -113.45317871314114 53.57367801270338, -113.45358531358845 53.57271337342131, -113.45366350009304 53.57238847605563, -113.45368021130815 53.571975208147464, -113.45368387809864 53.57036589260351, -113.45290558199342 53.57036447509127, -113.45267063412365 53.56992941394463, -113.45236101082173 53.56955360852611, -113.45179257538852 53.568927024202075, -113.44909159410241 53.565030333851944, -113.44813572594353 53.56398075908181, -113.44683726140732 53.56308558799819, -113.44652159353394 53.56286434477576, -113.4487495936591 53.5623907716715, -113.45044116280218 53.564185197162935, -113.45472938194021 53.56417144093996, -113.4579408795424 53.5637141712571, -113.46160956150742 53.563719364358775, -113.46160860533517 53.563615033762524, -113.4616094041982 53.562835731824485, -113.46161073085365 53.56273409979217, -113.46251936233706 53.562737103367674, -113.46402614699839 53.562743875506236, -113.4671842041802 53.56274006395739, -113.46714428980547 53.56282990870716, -113.46714507996376 53.56341761848022, -113.46626722983989 53.56418672841202, -113.46606112998447 53.56436688869514, -113.46567636980193 53.5647024085185, -113.4645087602406 53.565723738334995, -113.46337156029799 53.566719388340765, -113.46332339980235 53.56676156853661, -113.46331794028214 53.56676667838854, -113.46323150042309 53.56684203842436, -113.46182524006413 53.568073478334114, -113.46099553001467 53.56880027855237, -113.4592784901475 53.57030143843633, -113.45907107635655 53.57048088116958, -113.45566230214631 53.573463058347905)))"
Edmonton Research and Development Park,"MULTIPOLYGON (((-113.47957585162827 53.44692849029376, -113.47957548833428 53.44929495469416, -113.47954227076453 53.44969971272383, -113.47923674317609 53.45006928648343, -113.4791461781195 53.45030214036868, -113.47912788798129 53.451411115872006, -113.4791316057995 53.45296545681292, -113.4767765318506 53.45243018087679, -113.47520012818856 53.452151052140245, -113.47385104158553 53.45200039997219, -113.47299530985967 53.45196070317815, -113.46640082496421 53.45185225259078, -113.46647277847872 53.448003756068566, -113.46654505440895 53.439489578699735, -113.46766655947778 53.43948941841148, -113.46789055927619 53.439488338406996, -113.46811738949833 53.439488088326804, -113.46834888961307 53.43948863859922, -113.47957854932312 53.43947516861872, -113.47957589018364 53.446676968669365, -113.47965102280365 53.44667701087912, -113.47957585162827 53.44692849029376)))"
Edmonton South NBHD1,"MULTIPOLYGON (((-113.67149390322561 53.337500179618566, -113.67149362097425 53.33744448153705, -113.67530723889963 53.337710967219195, -113.68024087477691 53.33770884012804, -113.68024051686096 53.33739438896395, -113.68348222777054 53.337392934439535, -113.68348385701542 53.33990062366126, -113.68348601109565 53.3450306410187, -113.6837878275317 53.3450293661085, -113.68669612984198 53.34503979138029, -113.68733766093429 53.34525599284131, -113.68752312493432 53.34534201124139, -113.68783520193439 53.34553327504139, -113.6882979079345 53.34597326344171, -113.68854053593454 53.34601305424175, -113.68878080393458 53.346237016741846, -113.68913573493467 53.346390697842004, -113.68956233793475 53.346512546642046, -113.6903153829349 53.3467926149422, -113.69078725993502 53.34687327294223, -113.69100039793506 53.3469345075423, -113.69130915677853 53.347064215370914, -113.69180387593524 53.347540699442646, -113.69208328693527 53.347930234942936, -113.69233812193532 53.348143737842996, -113.69253297793537 53.34837149364324, -113.69275377293542 53.348780134243434, -113.69293418193546 53.349041590343624, -113.69292299193545 53.34933760384376, -113.69308150093546 53.34946805024382, -113.6932521819355 53.349553367043896, -113.69358023393556 53.349667332143916, -113.69360614614321 53.349676639048546, -113.69377844393563 53.3497897766441, -113.69374196593564 53.349925479944105, -113.69363049893559 53.35006282634424, -113.69348308793552 53.350343930744394, -113.69347716593553 53.35048793644448, -113.69356233093559 53.3506479939446, -113.69331542693553 53.35173179994528, -113.69325064193552 53.351895062845294, -113.69323200686704 53.35207531871948, -113.6932729299355 53.35224747924555, -113.69331653092581 53.35229177446145, -113.6958630144201 53.35230027768709, -113.69592939159705 53.35414172313932, -113.69541543593594 53.354074625346634, -113.69514510293588 53.35407206544669, -113.69484374093582 53.35405197964664, -113.69458887193578 53.35407364424664, -113.69436843193571 53.35415160454674, -113.6941613229357 53.35420108504668, -113.69396184793564 53.35413360284667, -113.69373633693559 53.3541295967467, -113.69308841793544 53.354332529046786, -113.69267403693536 53.354422868046846, -113.69221628893526 53.35454955744688, -113.69202580093523 53.35462552134693, -113.69161160193512 53.35473331444704, -113.69139117293508 53.35481013624707, -113.69123128293505 53.35489456434712, -113.69081702893497 53.35499368464716, -113.6906275449349 53.355069603447326, -113.6897372129347 53.3554758550475, -113.68960792293468 53.3555685758476, -113.68927322093462 53.35573776674764, -113.68834854293445 53.356315391348, -113.68806165393438 53.356528415448146, -113.68790179593435 53.35661283944815, -113.68748488093422 53.35692790784841, -113.68713166893417 53.35727711224858, -113.68704966993415 53.35740467744862, -113.68699879793414 53.35754951924876, -113.68691620193412 53.357668120648924, -113.68678807593409 53.357778765548886, -113.68660910393407 53.35803426134907, -113.68648042593402 53.35813593374907, -113.68603017793392 53.35861304674938, -113.68588234200577 53.35888579440581, -113.68578173184062 53.35919342176842, -113.6857008863107 53.35933894013155, -113.6855738838279 53.35946751957077, -113.68552243793381 53.35960340314998, -113.6854672459338 53.35991909365022, -113.68538632193379 53.3600646559502, -113.68536594093376 53.360217854750374, -113.68525445293376 53.36035511225046, -113.68480823493367 53.36066159285066, -113.68469506193364 53.36077194175072, -113.6846585339336 53.36090752475076, -113.6846552669336 53.36132989755107, -113.68463376693359 53.36146515155111, -113.68443536093356 53.36189186635141, -113.68439996193354 53.36204539415153, -113.68426835593351 53.36234496235169, -113.68416784293352 53.36266194225187, -113.68416360393351 53.36282341255196, -113.6841321909335 53.36303977435214, -113.6841598989335 53.36347940465233, -113.68447309693354 53.36392157055256, -113.68452711593356 53.36406410495274, -113.68461058493358 53.36419698155282, -113.6847437439336 53.36464323255309, -113.6847657589336 53.36499311105327, -113.68471336493357 53.36535369875355, -113.68464684693356 53.36548997635355, -113.68443997293349 53.36625824765404, -113.68426051693349 53.366747412554396, -113.68410278193345 53.36782009445499, -113.68404756793343 53.3681357837552, -113.68399719093344 53.36828964075526, -113.68405177993344 53.368441129755354, -113.68407693093344 53.36860224955553, -113.68418868393346 53.36870754135555, -113.6843117199335 53.36899221785572, -113.68464924793355 53.36934392805589, -113.68518514193369 53.36974507255614, -113.68551196093374 53.36992635895629, -113.68582063393382 53.37029668735647, -113.68599182393383 53.37039164225654, -113.68626035593388 53.37060117975668, -113.68657218393396 53.37078279285684, -113.686855708934 53.37099199935693, -113.68757727793418 53.371478784657256, -113.6877880789342 53.37172555405743, -113.68805661293428 53.37193508745749, -113.68809735093427 53.37210484005763, -113.68820968993428 53.37221908255765, -113.68860557293438 53.3725425184579, -113.68878694593441 53.37279893595809, -113.68891429093443 53.37291283905808, -113.68901194293444 53.37304612875814, -113.68908037893445 53.37317935835829, -113.6891927079345 53.37329361775837, -113.68961741893459 53.37359849905859, -113.68972974993459 53.37371274905857, -113.69007047293469 53.37387576625872, -113.6902699769347 53.37394314675873, -113.69080758893483 53.374371254458985, -113.69091992593485 53.374485512258985, -113.69104354293489 53.37477919885922, -113.6911169079349 53.37506685735947, -113.6911455159349 53.37562727235976, -113.69101685793488 53.37644772596023, -113.69106887693486 53.37679692416049, -113.69105401393487 53.37751598676088, -113.69099028693485 53.377697102061, -113.6909087349348 53.377833694661184, -113.69069749993479 53.378296646461365, -113.69052255293472 53.37857034876152, -113.69007147793462 53.37904767406184, -113.68978309593456 53.379242825561995, -113.68923858893446 53.37966832896225, -113.68912525493442 53.37977869816225, -113.68904306593443 53.37990630736237, -113.68883308593436 53.38015359636249, -113.68846193293429 53.38046739906271, -113.68842532293426 53.38060299096278, -113.68831422093429 53.380749230462904, -113.68795547193419 53.38126052216323, -113.68748824293408 53.38172031246344, -113.68674873993392 53.38239289596385, -113.68660539493389 53.38250394876393, -113.6862092609338 53.38263909106404, -113.68585762593372 53.38280858096418, -113.6848259239335 53.38312839066432, -113.68460253593345 53.38316039096436, -113.6843658219334 53.38321963706434, -113.68412685993339 53.38324301126431, -113.6838907109333 53.38331123776446, -113.68366745893326 53.38335192516444, -113.68266853693302 53.38347326666463, -113.68186107793288 53.383536550064555, -113.68056841493262 53.38352996726457, -113.67975433593246 53.383504176264566, -113.6789214779323 53.38340578606452, -113.67844991993216 53.383288943664404, -113.67820680793213 53.38324950606442, -113.67796546293208 53.3832370218644, -113.67750583693197 53.38310369756434, -113.67680570893184 53.382958029164314, -113.67652219525486 53.3829119199875, -113.67632285593173 53.38287884226417, -113.67586570393163 53.382772212564035, -113.67503853693145 53.38251210776392, -113.67458326293136 53.382432419463875, -113.67389452993123 53.382258558963805, -113.67326729893108 53.38209314816366, -113.67278292793098 53.3819965371636, -113.67235441893091 53.38189032936356, -113.67211039093085 53.38184255936352, -113.6714567039307 53.38169542446347, -113.67083139493057 53.381511352363255, -113.67046701629715 53.38138625876878, -113.67003122193039 53.381241530663196, -113.66958942893031 53.38113445436306, -113.66917775793023 53.38100875466302, -113.66899282093021 53.38093197766296, -113.66791336493 53.38047044076267, -113.66728238092983 53.3802947850625, -113.66684178092973 53.380196749962494, -113.66658483192968 53.38017554286246, -113.66600936992957 53.38009858886253, -113.66548820392944 53.38008421996251, -113.66458900992927 53.38010410186254, -113.66399278476413 53.38003520961916, -113.66353319292904 53.38004876746239, -113.663352428929 53.38007114196245, -113.6628237979289 53.380112192462505, -113.6623734259288 53.380175629362554, -113.66177353492866 53.3802333055625, -113.66085467192848 53.380369840962615, -113.66065308492843 53.38036551076264, -113.66054347292844 53.38039704296264, -113.6600359569283 53.38048820316273, -113.65973877192822 53.38050543416272, -113.65959265792819 53.380555558062774, -113.65931616892813 53.38054642756268, -113.65909301492809 53.380612871562725, -113.658648184928 53.38064607676278, -113.65836654692794 53.380668641062776, -113.65805370192787 53.38076146816296, -113.65769241592778 53.380844037062914, -113.65761174692778 53.38092074986297, -113.65730196292769 53.38097159346302, -113.65720547992771 53.38095191926293, -113.65701368992762 53.380980770063, -113.65689112992763 53.381047469263024, -113.65656672692754 53.38111832706306, -113.65634116892751 53.38115247146303, -113.65625665692748 53.381186314663125, -113.65560487987669 53.38133432668237, -113.6554155629273 53.38138724746329, -113.65383433992699 53.38198592516359, -113.65348527092692 53.382109744963614, -113.65327502492687 53.382194633863726, -113.65313228092685 53.38225716256378, -113.65285779392678 53.38233868186379, -113.65254063392673 53.38243873936383, -113.65210668092664 53.38258965566401, -113.65168715892655 53.38275216366407, -113.65151314792651 53.38285013906407, -113.65130105192644 53.382979043064246, -113.6510725189264 53.38312302246429, -113.65083202392636 53.38326897056434, -113.65055650392628 53.38344366906447, -113.65033129492625 53.383594150664536, -113.65009233792618 53.38373127436473, -113.64997693492617 53.38381504456475, -113.64986540792616 53.38391844566481, -113.64979945792612 53.383996650764836, -113.64967682592611 53.38409158036491, -113.64946374292607 53.38426936586496, -113.64934518292603 53.384397193265066, -113.64923384592602 53.38452252126511, -113.64900838492596 53.38474997896522, -113.64881507792589 53.3849367374654, -113.64862965992586 53.385103233465465, -113.64846845492583 53.38524518216562, -113.6483382869258 53.38535796646563, -113.64828380192579 53.385422127265684, -113.64816216292577 53.38558185336576, -113.64803985292575 53.38574187756592, -113.64795750592572 53.38583934806588, -113.64782209192568 53.38598654326599, -113.64768637292568 53.3861405156661, -113.64756633692565 53.38628276756623, -113.6474670489256 53.38639593686629, -113.64730439292558 53.3865653236663, -113.64718513992554 53.386679030766444, -113.64709594792552 53.38674364306648, -113.6469281819255 53.38686868916656, -113.64672114892544 53.3870365379667, -113.64654784092542 53.38719063156678, -113.6464586609254 53.38725577406683, -113.64628479392536 53.38738999506689, -113.6461432749253 53.387522064567, -113.6460294669253 53.387656462666996, -113.64589194292526 53.38783990106717, -113.64578464492526 53.38799377106728, -113.64570218392522 53.38811964816733, -113.64560853292521 53.38826108236734, -113.64550047140446 53.388461683911146, -113.64532991592513 53.38871543916764, -113.64516603192513 53.38896653896787, -113.64508904659115 53.389085178439835, -113.64502327892507 53.38928735966801, -113.644823835925 53.38971386266824, -113.644696437925 53.38984241256835, -113.64449664192493 53.39025998086868, -113.64444050592495 53.390324112268665, -113.64424099392488 53.39049920076879, -113.64418875892487 53.39062611256891, -113.64404319092486 53.39094373436905, -113.64390869992482 53.391198233069254, -113.64378868092481 53.391685953669466, -113.64377146392478 53.391892933469556, -113.64373034192478 53.39219925896978, -113.64365142692475 53.39238066276988, -113.64355027692473 53.39268832057007, -113.64355529792473 53.393011582770285, -113.64365477392474 53.393162089270355, -113.64379651092477 53.39326673417044, -113.64382597392479 53.393742159370696, -113.6439260249248 53.393901629370845, -113.6439032569248 53.39474650257139, -113.64395972094053 53.39565710425412, -113.63947482892335 53.395603140971836, -113.62684321092067 53.395629707571864, -113.61484284491812 53.39565014937189, -113.61167607291796 53.39565351977184, -113.611675933918 53.395608336371865, -113.60847806591731 53.39561165607192, -113.6084788679173 53.395404902871775, -113.60444866691644 53.395408950171735, -113.6044492439164 53.395615710471795, -113.60241079991546 53.395611200071826, -113.60241083891546 53.39565639137185, -113.59025273391288 53.39567414197187, -113.56554547690764 53.3956936667718, -113.56530010061869 53.36686910095066, -113.58627025209054 53.366760895572895, -113.58598153429952 53.33779273285578, -113.58598148861111 53.33759115006023, -113.58611055591095 53.337591069069646, -113.58611056967601 53.33754613870607, -113.59819945741556 53.33755452399049, -113.599070351873 53.33755542699326, -113.60056340713517 53.337521012573305, -113.60387039719869 53.33752429481236, -113.60626452899298 53.337562556148484, -113.61071553064288 53.33756680296801, -113.61362926708352 53.33757028910255, -113.61362905420395 53.3376421698336, -113.61500001257761 53.337689469603305, -113.6150001668275 53.337635556751486, -113.61918303811758 53.33774643431624, -113.62053640331999 53.337712005829836, -113.62123504438043 53.33784758777838, -113.62260765681508 53.33784911540317, -113.6226078875585 53.33780418774176, -113.62407236153146 53.337776874373894, -113.62407256275849 53.33774541827745, -113.63195069039537 53.33754301859337, -113.63238217300892 53.33753315161498, -113.63281379260017 53.33752573683351, -113.63324551029301 53.3375207749172, -113.63367728720239 53.33751826631292, -113.63410908443811 53.337518211246795, -113.63454086310809 53.33752060972399, -113.63467525295302 53.33744339379236, -113.63497718265894 53.337444317730906, -113.63497717928189 53.337444627102684, -113.63511270567646 53.33752753045707, -113.63601319504737 53.33754731616207, -113.63862349085844 53.33761998141441, -113.63902190157494 53.33763000305701, -113.63942044610208 53.33763789328047, -113.63981909259117 53.33764365145397, -113.64021780918526 53.33764727711741, -113.64061656402181 53.33764876998092, -113.64101532523519 53.33764812992507, -113.641015203513 53.33770205200632, -113.64286113040673 53.33767554270646, -113.64286126481959 53.3376216207793, -113.64705767778587 53.33751250047052, -113.65900811694802 53.33744309598217, -113.65914300739759 53.337361424676715, -113.65944495811272 53.337362286767735, -113.65944504196165 53.33739559340045, -113.6595803318564 53.3374765145325, -113.66388592759633 53.3374779891241, -113.66388595408446 53.337442052528665, -113.66858173999357 53.33744345471859, -113.66900401178788 53.33744475140281, -113.66942624529524 53.33744839475791, -113.66984840413704 53.33745438447001, -113.67027045194102 53.33746272002326, -113.67069235234443 53.33747340069961, -113.67111406899718 53.33748642557882, -113.67130323087996 53.3374930365213, -113.67149390322561 53.337500179618566)))"
Edmonton South NBHD2,"MULTIPOLYGON (((-113.58627025209054 53.366760895572895, -113.56530010061869 53.36686910095066, -113.56554547690764 53.3956936667718, -113.56524274300236 53.3956943177131, -113.56380914906322 53.395695285226545, -113.55918906890982 53.39569778063633, -113.55918924990729 53.39555878507172, -113.55802608190703 53.39555893277181, -113.55616232090664 53.39556012197183, -113.55616224290664 53.39569932757183, -113.553135402906 53.39570078667184, -113.55313540090599 53.39565560447182, -113.548463465905 53.39565853487182, -113.54725011004481 53.395658830623034, -113.54071272430262 53.395670696462794, -113.54071140524375 53.395708891805235, -113.51627514014918 53.395779648534486, -113.5109326486115 53.395768024786754, -113.51307071858056 53.39282742371103, -113.51517195192612 53.389940277279166, -113.51530229792415 53.389760782299994, -113.51551830080818 53.38946394716155, -113.51561653651673 53.389332534922296, -113.51571885820958 53.389202241789526, -113.51582523019573 53.38907311316368, -113.51593561537389 53.38894519403901, -113.51604997524542 53.38881852898805, -113.51616826992779 53.38869316214587, -113.51647219687423 53.38838905376272, -113.51670098917039 53.38817416893623, -113.51683455267126 53.38805020098575, -113.51692719992619 53.387962005294725, -113.51701791505337 53.387873094751775, -113.51710668263276 53.38778348448196, -113.51719348757585 53.38769318972942, -113.51727831512834 53.38760222585463, -113.51736115087255 53.38751060833158, -113.51737864768484 53.387490890856384, -113.51741336437958 53.38745136857899, -113.51744771093244 53.38741173089539, -113.5174789978731 53.38737510861222, -113.51750730549301 53.387341527633446, -113.5175492707876 53.38729100786662, -113.51759438412476 53.387235718089215, -113.51763878454888 53.387180222452535, -113.51768246943443 53.38712452424186, -113.51772543619829 53.3870686267541, -113.51776768229986 53.38701253329809, -113.51780920524128 53.38695624719429, -113.51838718211361 53.386162568030166, -113.51908233561855 53.385204017883815, -113.5199558652727 53.38400367807018, -113.51999553510963 53.38394978739085, -113.52201619075359 53.38117688852278, -113.52214486656248 53.38099407087527, -113.52226685178415 53.3808096208392, -113.52238208862545 53.38062362593327, -113.52249052249739 53.38043617440793, -113.52259210204086 53.380247355203544, -113.52268677915103 53.38005725790845, -113.52304744826318 53.37931165212114, -113.52313956700183 53.37912714472267, -113.5232383850186 53.378943880953024, -113.523343855336 53.378761947775764, -113.52345592782171 53.378581431521745, -113.52357454921263 53.378402417848314, -113.52369966314015 53.37822499169906, -113.52819896128781 53.372044089809236, -113.5286269247086 53.371457642231015, -113.52902928837592 53.37090462954103, -113.53204236523965 53.366767469879214, -113.5371265074552 53.35974688457552, -113.53712638943385 53.35965596961752, -113.53742852560558 53.359657001900786, -113.53742732236184 53.35933217527721, -113.5424396034448 53.35242979868724, -113.54426384691189 53.3499144560263, -113.54742741155837 53.34555970457167, -113.54772120028338 53.34520160488832, -113.54794523856295 53.344931060136425, -113.55005940371012 53.34237297654962, -113.55050119561702 53.34182348274235, -113.55102359877581 53.34112231344232, -113.55112538196767 53.34096345013672, -113.55355385169557 53.338808891442724, -113.55356579196928 53.337665544370246, -113.55628173573818 53.33766511042843, -113.5604760745347 53.337664843286085, -113.5615644686095 53.337421579441305, -113.56186647676218 53.337420840406786, -113.56874593507555 53.33754503348255, -113.57372933581527 53.337556533334464, -113.58351653727608 53.3375477459094, -113.58351661090204 53.3375926773246, -113.58598148861111 53.33759115006023, -113.58598153429952 53.33779273285578, -113.58627025209054 53.366760895572895)))"
Edmonton South NBHD3,"MULTIPOLYGON (((-113.46688907103353 53.366696681846754, -113.46743480701744 53.3666967851347, -113.46743478666477 53.36699330530137, -113.46741318315084 53.37448026828911, -113.46760724865271 53.3745086070658, -113.4677128214283 53.37453414569211, -113.46769252194066 53.38148098328507, -113.4673929537263 53.38148327069853, -113.46743093269932 53.395767695600135, -113.44287462342243 53.39577712800431, -113.41780166492597 53.395790408991, -113.39366340442638 53.39571393512259, -113.39366330080898 53.39566867646693, -113.39033697672532 53.39567246964697, -113.39033708221983 53.39571764457097, -113.38122436851344 53.39572731773847, -113.3690877350038 53.39573960087884, -113.36786902784934 53.395737934835196, -113.36786903587262 53.39569279240149, -113.3446434744837 53.39565870311324, -113.34459729118223 53.38125383263293, -113.34441980200083 53.366727288477094, -113.36704199308974 53.366748164593176, -113.37290431778773 53.36674993874257, -113.37889873947113 53.36674239110574, -113.390965059287 53.36673523427747, -113.39096978504942 53.36691528342434, -113.3912728883686 53.36691499113827, -113.39150214670653 53.366914978588866, -113.39329557991334 53.366913020223976, -113.39359743999215 53.36691122906653, -113.39361367215717 53.374045644173044, -113.39363043362759 53.38126696233179, -113.40575258490719 53.3812953972762, -113.41727451640726 53.38132080369087, -113.41772523773787 53.3813217700964, -113.4188246807256 53.38132338003808, -113.41918058644848 53.38132340864148, -113.43040495961696 53.38133180648122, -113.4426333694703 53.38133726987863, -113.44270185254915 53.37402411914991, -113.4430040687342 53.37402331354694, -113.45504134162672 53.37411277255729, -113.45506867517055 53.36698281255953, -113.4645282236207 53.36699095155863, -113.46452806763395 53.36665155239371, -113.46481509122277 53.36666574019125, -113.46584240563037 53.36666550559082, -113.46591512634748 53.366665791857436, -113.46598783349559 53.36666667953517, -113.46606051317356 53.36666816845444, -113.46613315148552 53.36667025833051, -113.4662057345435 53.36667294876384, -113.46627824847003 53.366676239239965, -113.4664898162237 53.36668672281612, -113.46653654384595 53.36668890299894, -113.46658330435004 53.36669081441854, -113.46663009341485 53.36669245689814, -113.4666769067165 53.3666938302861, -113.46672373992895 53.3666949344554, -113.46677058872424 53.36669576930405, -113.46682982528498 53.36669643894101, -113.46688907103353 53.366696681846754)))"
Ekota,"MULTIPOLYGON (((-113.45156649074288 53.44735963636071, -113.45136754557869 53.447727471407426, -113.45111494619157 53.44801625208135, -113.4496840088827 53.44904155811729, -113.44922819607861 53.44947169723455, -113.44885428037692 53.44992912097799, -113.4486633592552 53.4502121048967, -113.44838818545048 53.450788204499446, -113.44825967416257 53.45137529097798, -113.44814427043951 53.45325607748887, -113.44392656018037 53.45353563697277, -113.43924216368603 53.45365427547849, -113.43469849052742 53.453565206161535, -113.43476878321492 53.45244741401884, -113.435291857003 53.44964785974501, -113.43654110039746 53.44619443586851, -113.43770636049143 53.446298948272464, -113.43822334534373 53.44632038399551, -113.43870110695076 53.44629887508705, -113.43964313830354 53.446186697274506, -113.44281553986887 53.44556652579337, -113.44413114748008 53.4453164034968, -113.44496956859916 53.445214293138754, -113.44595948441795 53.4451658837961, -113.44689778346532 53.445185375589965, -113.44777492013145 53.445259961930695, -113.4489915525874 53.44542927273652, -113.44979848106793 53.44558193176181, -113.45039399681711 53.4457736761946, -113.45086830185882 53.4460128614092, -113.45127806837895 53.44634780515943, -113.45148197270113 53.44662325181749, -113.45157577354261 53.446862257734374, -113.4516119630274 53.447108228689096, -113.45156649074288 53.44735963636071)))"
Ellerslie,"MULTIPOLYGON (((-113.44663411978246 53.42486625728079, -113.4508830207414 53.42488580872364, -113.45213699116057 53.42488280711272, -113.45528665029187 53.424903644517784, -113.45831599502918 53.424892361112775, -113.46289066672 53.42489496488312, -113.46699383275363 53.42492754142187, -113.47376828699664 53.424937307877705, -113.47366845534441 53.42627489252798, -113.47350457753338 53.42737644851482, -113.47319993209565 53.42797210671106, -113.47279434220691 53.428503082284976, -113.47238043676165 53.428942227145235, -113.47182140037367 53.429371507979646, -113.47123764443302 53.429720037995914, -113.46993624950034 53.430380363809746, -113.46919477891952 53.430786920901305, -113.4683720620657 53.431312338525665, -113.46772907019052 53.431861744011535, -113.46737508159781 53.43225357394591, -113.46676894845916 53.43225365896579, -113.45500476860616 53.432251532360475, -113.44892838913292 53.43225192870847, -113.44428057483057 53.432251008123544, -113.44295124881576 53.43224974656086, -113.44287566914983 53.432249758423914, -113.44273123523556 53.43225007811183, -113.4427135116132 53.43084121481502, -113.44270567173226 53.427380452961636, -113.44265876594524 53.42483715921137, -113.44663411978246 53.42486625728079)))"
