const, assetId, longitude, latitude
%COORD, 1, 53.6034547, -113.3838655
%COORD, 3, 53.5996649, -113.393961367568
%COORD, 10, 53.61183905, -113.372661149719
%COORD, 11, 53.6034547, -113.3838655
%COORD, 18, 53.60357875, -113.392022144422
%COORD, 22, 53.6039795357143, -113.377735078571
%COORD, 25, 53.6015815, -113.435012150279
%COORD, 31, 53.6057177505443, -113.385572999375
%COORD, 35, 53.61110885, -113.387065252884
%COORD, 37, 53.5694995, -113.4093676
%COORD, 39, 53.5437536733333, -113.51407394
%COORD, 41, 53.5882106, -113.4096253
%COORD, 45, 53.602914175, -113.3950988125
%COORD, 47, 53.60247505, -113.38250081
%COORD, 50, 53.5701572, -113.4001579
%COORD, 52, 53.570144775, -113.4067729
%COORD, 54, 53.6057282, -113.3814838
%COORD, 55, 53.60357875, -113.392022144422
%COORD, 56, 53.6039795357143, -113.377735078571
%COORD, 57, 53.6039795357143, -113.377735078571
%COORD, 58, 53.6039795357143, -113.377735078571
%COORD, 68, 53.5986988, -113.4029327
%COORD, 69, 53.60357875, -113.392022144422
%COORD, 70, 53.5881223269764, -113.418673690413
%COORD, 89, 53.61183905, -113.372661149719
%COORD, 90, 53.5413924, -113.5830205
%COORD, 92, 53.6057282, -113.3814838
%COORD, 94, 53.5496864298507, -113.484833310448
%COORD, 95, 53.6281363, -113.4244134
%COORD, 96, 53.62039615, -113.43159053409
%COORD, 98, 53.6057282, -113.3814838
%COORD, 99, 53.6057282, -113.3814838
%COORD, 100, 53.6057282, -113.3814838
%COORD, 101, 53.6057282, -113.3814838
%COORD, 102, 53.6057282, -113.3814838
%COORD, 104, 53.6076083290119, -113.398325573743
%COORD, 105, 53.6076083290119, -113.398325573743
%COORD, 106, 53.6076083290119, -113.398325573743
%COORD, 107, 53.6076083290119, -113.398325573743
%COORD, 108, 53.6076083290119, -113.398325573743
%COORD, 110, 53.6076083290119, -113.398325573743
%COORD, 114, 53.5947182079724, -113.413656624908
%COORD, 119, 53.6039795357143, -113.377735078571
%COORD, 120, 53.6039795357143, -113.377735078571
%COORD, 123, 53.6039795357143, -113.377735078571
%COORD, 124, 53.5857037583565, -113.467621050841
%COORD, 125, 53.60357875, -113.392022144422
%COORD, 126, 53.5857037583565, -113.467621050841
%COORD, 146, 53.6057282, -113.3814838
%COORD, 155, 53.6039795357143, -113.377735078571
%COORD, 157, 53.60357875, -113.392022144422
%COORD, 159, 53.6057282, -113.3814838
%COORD, 162, 53.6039795357143, -113.377735078571
%COORD, 164, 53.5694958833333, -113.467071295833
%COORD, 165, 53.60205511, -113.441982265
%COORD, 173, 53.6022427637109, -113.380269275039
%COORD, 175, 53.5437536733333, -113.51407394
%COORD, 176, 53.5437536733333, -113.51407394
%COORD, 177, 53.5437536733333, -113.51407394
%COORD, 178, 53.5437536733333, -113.51407394
%COORD, 180, 53.5437536733333, -113.51407394
%COORD, 181, 53.5437536733333, -113.51407394
%COORD, 182, 53.5437536733333, -113.51407394
%COORD, 183, 53.5437536733333, -113.51407394
%COORD, 184, 53.5437536733333, -113.51407394
%COORD, 185, 53.5437536733333, -113.51407394
%COORD, 186, 53.5437536733333, -113.51407394
%COORD, 187, 53.5437536733333, -113.51407394
%COORD, 189, 53.5437536733333, -113.51407394
%COORD, 203, 53.6039795357143, -113.377735078571
%COORD, 1017, 53.570144775, -113.4067729
%COORD, 1018, 53.6039795357143, -113.377735078571
%COORD, 1020, 53.60205511, -113.441982265
%COORD, 1022, 53.5496864298507, -113.484833310448
